"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,";"GND VIA";22;"";;;
2;"G***,G***";"lightning";2;"LOGO";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
4;"C1,C2,C3,C4,C8";"C_0603";5;"1uF";;;
5;"D1,D2";"D_SOD-123F";2;"D_Schottky";;;
6;"R7,R8,R9,R11,R13";"R_0603";5;"10K";;;
7;"Q1,Q2,Q3";"SOT-23";3;"Q_NJFET_GSD";;;
8;"U1";"SOT-23";1;"AP2210";;;
9;"U5";"QFN-20-1EP_4x4mm_Pitch0.5mm";1;"ATTINY841-MMH";;;
10;"R10,R12";"R_0603";2;"100K";;;
11;"P1";"USB_Micro-B_Molex_47346-0001";1;"USB_OTG";;;
12;"R1";"R_Array_Concave_2x0603";1;"22";;;
13;"D3";"D_0603";1;"RED";;;
14;"R2,R3,R4";"R_0603";3;"680";;;
15;"U2";"QFN-16_4x4mm_Pitch0.65mm";1;"FT230XQ-R";;;
16;"P5";"LINEAR_ICSP";1;"ICSP";;;
17;"U4";"LGA-8_PIN1_DOT";1;"BMP280";;;
18;"C6";"Tantalum_Case-B_EIA-3528-21_Reflow";1;"100uF";;;
19;"P2";"100MIL_STX4";1;"SCREW";;;
20;"P3";"100MIL_STX6";1;"SCREW";;;
